1770363975354148419,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354244160,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354338512,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354433586,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354528604,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354623604,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354718771,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354812919,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975354908568,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355006031,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355114679,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355235698,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355338883,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355433827,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355558513,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355658068,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355820569,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975355937050,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356038847,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356138365,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356238791,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356347680,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356445569,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356539069,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356633273,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356731977,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356833125,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975356935255,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357041792,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357146792,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357247237,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357342903,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357438607,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357533367,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357629515,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357723385,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357821589,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975357993534,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358103737,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
